2015-09-01 15:28:26,901 INFO  o.s.c.a.AnnotationConfigApplicationContext [main]: Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4fda9420: startup date [Tue Sep 01 15:28:26 CEST 2015]; root of context hierarchy
2015-09-01 15:28:27,538 INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader [main]: Skipping bean definition for [BeanMethod:name=toscaParser,declaringClass=eu.seaclouds.common.tosca.AppConfig]: a definition for bean 'toscaParser' already exists. This top-level bean definition is considered as an override.
2015-09-01 15:28:27,752 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [main]: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-09-01 15:28:28,662 INFO  a.t.p.mapping.AbstractMapper [main]: Mapping yaml field definitions to definitions using basic ScalarParser
2015-09-01 15:28:29,561 INFO  o.s.c.a.AnnotationConfigApplicationContext [main]: Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1a44946c: startup date [Tue Sep 01 15:28:29 CEST 2015]; root of context hierarchy
2015-09-01 15:28:29,715 INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader [main]: Skipping bean definition for [BeanMethod:name=toscaParser,declaringClass=eu.seaclouds.common.tosca.AppConfig]: a definition for bean 'toscaParser' already exists. This top-level bean definition is considered as an override.
2015-09-01 15:28:29,733 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [main]: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-09-01 15:28:29,795 INFO  a.t.p.mapping.AbstractMapper [main]: Mapping yaml field definitions to definitions using basic ScalarParser
2015-09-01 15:28:30,807 INFO  o.s.c.a.AnnotationConfigApplicationContext [main]: Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@64ef69d5: startup date [Tue Sep 01 15:28:30 CEST 2015]; root of context hierarchy
2015-09-01 15:28:30,947 INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader [main]: Skipping bean definition for [BeanMethod:name=toscaParser,declaringClass=eu.seaclouds.common.tosca.AppConfig]: a definition for bean 'toscaParser' already exists. This top-level bean definition is considered as an override.
2015-09-01 15:28:30,963 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [main]: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-09-01 15:28:31,020 INFO  a.t.p.mapping.AbstractMapper [main]: Mapping yaml field definitions to definitions using basic ScalarParser
2015-09-01 15:28:31,148 INFO  o.s.c.a.AnnotationConfigApplicationContext [main]: Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1498cf4d: startup date [Tue Sep 01 15:28:31 CEST 2015]; root of context hierarchy
2015-09-01 15:28:31,319 INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader [main]: Skipping bean definition for [BeanMethod:name=toscaParser,declaringClass=eu.seaclouds.common.tosca.AppConfig]: a definition for bean 'toscaParser' already exists. This top-level bean definition is considered as an override.
2015-09-01 15:28:31,334 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [main]: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-09-01 15:28:31,397 INFO  a.t.p.mapping.AbstractMapper [main]: Mapping yaml field definitions to definitions using basic ScalarParser
2015-09-01 15:28:31,711 INFO  o.s.c.a.AnnotationConfigApplicationContext [main]: Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@56eda167: startup date [Tue Sep 01 15:28:31 CEST 2015]; root of context hierarchy
2015-09-01 15:28:31,812 INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader [main]: Skipping bean definition for [BeanMethod:name=toscaParser,declaringClass=eu.seaclouds.common.tosca.AppConfig]: a definition for bean 'toscaParser' already exists. This top-level bean definition is considered as an override.
2015-09-01 15:28:31,825 INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [main]: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-09-01 15:28:31,877 INFO  a.t.p.mapping.AbstractMapper [main]: Mapping yaml field definitions to definitions using basic ScalarParser
